Observer ,Date,Location ,Species,Body_Size_cm ,Group_Size,Habitat,Pass,Time_Start,Time_End,Depth (ft)
MB,5-12-2025,Hinalea,C. auriga,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. melampygus,27.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,S. psittacus,17.5,20,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,12.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,17.5,4,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,27.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. auriga,17.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,T. duperrey,12.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,27.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,12.5,6,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,G. varius,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus ,27.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. velifer,7.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,27.5,17,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,27.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus ,17.5,7,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,4,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,17.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,17.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,S. psittacus ,7.5,7,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,11,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,T. duperrey,12.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus ,12.5,20,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,17.5,15,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. auriga,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,6,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,12.5,13,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,G. varius,17.5,4,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,12.5,12,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,7.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,17.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,17.5,14,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,17.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,T. duperrey,17.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,7,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,G. varius,12.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. cornutus,12.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. auriga,17.5,5,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,17.5,13,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,12.5,6,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,5,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,10,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,14,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S.psittacus,2.5,28,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,T. duperrey,12.5,1,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,C. spilurus,17.5,22,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,14,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velifer,2.5,16,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,4,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,28,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,23,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,7.5,25,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velifer,7.5,1,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,4,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,14,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velfer,7.5,10,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,20,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,7.5,26,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,6,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,28,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,4,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S.psittacus,12.5,38,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,10,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velifer,7.5,24,Reef_Flat ,3,11:29,12:01,3
